"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Crystal Systems","Space Groups","IMA Mineral Symbol","Paragenetic Modes"
"Abellaite","Abellaite","NaPb<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)","Na Pb C O H","2014","Approved","Not in a structural group"," ","hexagonal","P31c|P6_3mc","Abe","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Abelsonite","Abelsonite","NiC<sub>31</sub>H<sub>32</sub>N<sub>4</sub>","Ni C H N","1975","Approved","Not in a structural group"," ","triclinic","P-1","Abl","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals"
"Abenakiite-(Ce)","Abenakiite-(Ce)","Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O","Na Ce Si O P C S","1991","Approved","Not in a structural group"," ","hexagonal","R-3","Abk-Ce","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Abernathyite","Abernathyite","K(UO<sub>2</sub>)(AsO<sub>4</sub>)·3H<sub>2</sub>O","K U O As H","1956","Approved,Grandfathered","Natroautunite","autunite","tetragonal","P4/nmm|P4/ncc","Abn","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Abhurite","Abhurite","Sn<sup>2+</sup><sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>","Sn O H Cl","1983","Approved","Not in a structural group"," ","hexagonal","R32","Abh","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes"
"Abramovite","Abramovite","Pb<sub>2</sub>SnInBiS<sub>7</sub>","Pb Sn In Bi S","2006","Approved","Not in a structural group"," ","triclinic","P1","Abm","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals"
"Abswurmbachite","Abswurmbachite","Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>)","Cu Mn O Si","1990","Approved","Braunite","braunite","tetragonal","I4_1/acd","Abs","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Abuite","Abuite","CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>","Ca Al P O F","2014","Approved","Not in a structural group"," ","orthorhombic","P2_12_12_1","Abu","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
"Acanthite","Acanthite","Ag<sub>2</sub>S","Ag S","1855","Approved,Grandfathered","Acanthite"," ","monoclinic","P2_1/n","Aca","Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
"Acetamide","Acetamide","CH<sub>3</sub>CONH<sub>2</sub>","C H O N","1974","Approved","Not in a structural group"," ","hexagonal","R3c","Ace","Biotic; Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Achalaite","Achalaite","Fe<sup>2+</sup>TiNb<sub>2</sub>O<sub>8</sub>","Fe Ti Nb O","2013","Approved","Wodginite"," ","monoclinic","C2/c","Ahl","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Achávalite","Achavalite","FeSe","Fe Se","1939","Approved,Renamed","Nickeline"," ","hexagonal","P6_3mc|P6_3/mmc","Ahv","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Achyrophanite","Achyrophanite","(K,Na)<sub>3</sub>(Fe<sup>3+</sup>,Ti,Al,Mg)<sub>5</sub>O<sub>2</sub>(AsO<sub>4</sub>)<sub>5</sub>","K Na Fe Ti Al Mg O As","2018","Approved,Pending publication","Not in a structural group"," ","orthorhombic","P222_1","Aph","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Acmonidesite","Acmonidesite","(NH<sub>4</sub>,K,Pb,Na)<sub>9</sub>Fe<sup>2+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>5</sub>Cl<sub>8</sub>","N H K Pb Na Fe S O Cl","2013","Approved","Not in a structural group"," ","orthorhombic","C222_1","Acm","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
